ID;Название;Статус;Стартовая;Текущая;Ставок;Категория;Картинки
413;Светильник-ночник.;ENDED;150.00;0.00;0;Остальное;[]
6235;Штаны тёплые офицерские, СССР;ENDED;500.00;0.00;0;Разное (трудноопределимые предметы и фрагменты);[]
13265;Автоакустика Pioneer TS1660 90W;ENDED;2000.00;0.00;0;Разное (трудноопределимые предметы и фрагменты);[]
18935;кара бешлык Шахин Гирея;ENDED;150.00;0.00;0;Восточные;[]
18963;бешлык Шахин Гирея-2;ENDED;400.00;0.00;0;Восточные;[]
30767;Фотоаппарат \&quot;Любитель\&quot;;ENDED;800.00;0.00;0;Оптика (бинокли, линзы, монокли и проч.);[]
30979;Амулет-топорик;ENDED;900.00;0.00;0;Христианская металлопластика 14-19вв;[]
32253;Карл 10;ENDED;1200.00;0.00;0;Настольные медали;[]
32254;Перечекан 5 копеек 1763 год;ENDED;7400.00;0.00;0;Имперские (Россия);[]
32266;памятный жетон;ENDED;3000.00;0.00;0;Государственные награды Россйской Империи  (ордена, кресты, медали);[]
32267;Памятная медаль;ENDED;1300.00;0.00;0;Государственные награды Россйской Империи  (ордена, кресты, медали);[]
32269;Памятная медаль;ENDED;2999.00;0.00;0;Государственные награды Россйской Империи  (ордена, кресты, медали);[]
32670;Скифское бронзовое изделие;ENDED;500.00;0.00;0;Металлопластика античная;[]
32717;печать 4;ENDED;250.00;0.00;0;Металлопластика средневековая,  восточные предметы до 1917г;[]
32796;Мунке каан;ENDED;800.00;0.00;0;Восточные;[]
32850;Скифский дротик &#40;небольшое копьё&#41;;ENDED;2000.00;0.00;0;Металлопластика античная;[]
32984;Денга и полушка Екатерины II;ENDED;500.00;0.00;0;Имперские (Россия);[]
32986;Римская монета;ENDED;500.00;0.00;0;Античные монеты;[]
32987;Античная бронза;ENDED;600.00;0.00;0;Металлопластика античная;[]
32989;Скифский рабочий топор;ENDED;2000.00;0.00;0;Металлопластика античная;[]
33050;2 Пфенинга 1680г&#40;Леопольд 1&#41;;ENDED;1000.00;0.00;0;Германия;[]
33068;5 копеек 1860 г.;ENDED;500.00;0.00;0;Имперские (Россия);[]
33084;лепта ПАNTI;ENDED;1800.00;0.00;0;Античные монеты;[]
33090;Антика;ENDED;1500.00;0.00;0;Металлопластика античная;[]
33144;2 пятака  Eлизаветы II;ENDED;600.00;0.00;0;Имперские (Россия);[]
33167;2 копейки Екатерины 2 &#40;1763&#41;;ENDED;300.00;0.00;0;Имперские (Россия);[]
33168;2 копейки Елизаветы 2 &#40;1757&#41;;ENDED;300.00;0.00;0;Имперские (Россия);[]
33169;Комплект монет «Серебром»;ENDED;800.00;0.00;0;Имперские (Россия);[]
33203;Весовая гирька;ENDED;200.00;0.00;0;Металлопластика средневековая,  восточные предметы до 1917г;[]
33204;Акинак &#40;короткий скифский меч&#41;;ENDED;3000.00;0.00;0;Металлопластика античная;[]
33205;20 копеек времён ВОВ;ENDED;500.00;0.00;0;Россия и СССР;[]
33206;Топор Царских времен;ENDED;1500.00;0.00;0;Металлопластика средневековая,  восточные предметы до 1917г;[]
33342;1/2 копейки 2 шт;ENDED;200.00;0.00;0;Имперские (Россия);[]
33384;вставки перстней;ENDED;300.00;0.00;0;Перстни и кольца;[]
33391;2 и 3 копейки 1911 г. &#40;Николай II&#41;;ENDED;150.00;0.00;0;Имперские (Россия);[]
33396;Копейка Шахин Гирея &#40;4 год правления&#41;;ENDED;1000.00;0.00;0;Восточные;[]
33402;1 крейцер Фердинант Карел Австрийский &#40;1642-1667 гг.&#41;;ENDED;700.00;0.00;0;Средневековые (Европа);[]
33437;СССР;ENDED;1000.00;0.00;0;Россия и СССР;[]
33463;Наконечники бронзовые;ENDED;1000.00;0.00;0;Металлопластика античная;[]
33475;Крым.Гираи;ENDED;900.00;0.00;0;Восточные;[]
33520;Полторак 1622 г.;ENDED;200.00;0.00;0;Восточные;[]
33528;Кистень;ENDED;500.00;0.00;0;Металлопластика античная;[]
33749;6 монет;ENDED;1499.00;0.00;0;Античные монеты;[]
